document,title,type,subtype,region,order,level,section,tokens,판정,token_deficit,권장_보강_토큰,paragraphs,문단_판정,측정_방식,chars,bytes
[청연] 백악호선문.md,[청연] 백악호선문(白岳虎禪門),단체,일반,청연,5,2,수행 체계와 무공,219,고신뢰 부족,81,101,2,통과,보정 추정,338,822
[청연] 백악호선문.md,[청연] 백악호선문(白岳虎禪門),단체,일반,청연,6,2,교리와 금기,183,고신뢰 부족,117,137,2,통과,보정 추정,304,744
[청연] 백악호선문.md,[청연] 백악호선문(白岳虎禪門),단체,일반,청연,7,2,대외 관계,201,고신뢰 부족,99,119,2,통과,보정 추정,318,778
[청연] 법도부.md,[청연] 법도부(法度府),단체,일반,청연,1,2,개요,244,고신뢰 부족,56,76,2,통과,보정 추정,399,983
[청연] 법도부.md,[청연] 법도부(法度府),단체,일반,청연,2,2,신앙적 기반,194,고신뢰 부족,106,126,2,통과,보정 추정,306,744
[청연] 법도부.md,[청연] 법도부(法度府),단체,일반,청연,3,2,본거지와 활동권,217,고신뢰 부족,83,103,2,통과,보정 추정,337,817
[청연] 법도부.md,[청연] 법도부(法度府),단체,일반,청연,4,2,조직 구조,196,고신뢰 부족,104,124,2,통과,보정 추정,309,749
[청연] 법도부.md,[청연] 법도부(法度府),단체,일반,청연,5,2,수행 체계와 무공,204,고신뢰 부족,96,116,2,통과,보정 추정,318,766
[청연] 법도부.md,[청연] 법도부(法度府),단체,일반,청연,6,2,교리와 금기,195,고신뢰 부족,105,125,2,통과,보정 추정,313,761
[청연] 법도부.md,[청연] 법도부(法度府),단체,일반,청연,7,2,대외 관계,202,고신뢰 부족,98,118,2,통과,보정 추정,314,766
[청연] 선림.md,[청연] 선림,개념,일반,청연,1,2,개요,233,고신뢰 부족,67,87,2,통과,보정 추정,342,824
[청연] 선림.md,[청연] 선림,개념,일반,청연,2,2,선문·산문,0,고신뢰 부족,300,320,0,부족,보정 추정,0,0
[청연] 선림.md,[청연] 선림,개념,일반,청연,3,3,선협 계통 선문·산문,21,고신뢰 부족,279,299,0,부족,보정 추정,66,150
[청연] 소림사.md,[청연] 소림사,단체,일반,청연,1,2,개요,278,추정 부족,22,42,3,통과,보정 추정,430,1040
[청연] 소림사.md,[청연] 소림사,단체,일반,청연,3,2,기원과 전승,270,고신뢰 부족,30,50,3,통과,보정 추정,427,1049
[청연] 소림사.md,[청연] 소림사,단체,일반,청연,4,2,무공과 수행 색채,270,고신뢰 부족,30,50,3,통과,보정 추정,429,1045
[청연] 소림사.md,[청연] 소림사,단체,일반,청연,5,2,조직 구조,264,고신뢰 부족,36,56,3,통과,보정 추정,411,989
[청연] 소림사.md,[청연] 소림사,단체,일반,청연,6,2,대외 관계,243,고신뢰 부족,57,77,3,통과,보정 추정,392,964
[청연] 소림사.md,[청연] 소림사,단체,일반,청연,7,2,정합성 메모,144,고신뢰 부족,156,176,2,통과,보정 추정,246,608
[청연] 수운선문.md,[청연] 수운선문(水運禪門),단체,일반,청연,1,2,개요,219,고신뢰 부족,81,101,2,통과,보정 추정,357,875
[청연] 수운선문.md,[청연] 수운선문(水運禪門),단체,일반,청연,2,2,신앙적 기반,187,고신뢰 부족,113,133,2,통과,보정 추정,299,729
[청연] 수운선문.md,[청연] 수운선문(水運禪門),단체,일반,청연,3,2,본거지와 활동권,228,고신뢰 부족,72,92,2,통과,보정 추정,354,852
[청연] 수운선문.md,[청연] 수운선문(水運禪門),단체,일반,청연,4,2,조직 구조,192,고신뢰 부족,108,128,2,통과,보정 추정,303,735
[청연] 수운선문.md,[청연] 수운선문(水運禪門),단체,일반,청연,5,2,수행 체계와 무공,208,고신뢰 부족,92,112,2,통과,보정 추정,320,768
[청연] 수운선문.md,[청연] 수운선문(水運禪門),단체,일반,청연,6,2,교리와 금기,189,고신뢰 부족,111,131,2,통과,보정 추정,307,747
[청연] 수운선문.md,[청연] 수운선문(水運禪門),단체,일반,청연,7,2,대외 관계,206,고신뢰 부족,94,114,2,통과,보정 추정,321,787
[청연] 아미파.md,[청연] 아미파,단체,일반,청연,1,2,개요,259,고신뢰 부족,41,61,3,통과,보정 추정,392,950
[청연] 아미파.md,[청연] 아미파,단체,일반,청연,2,2,대표 거점과 영향권,313,경계,0,7,2,통과,보정 추정,491,1159
[청연] 아미파.md,[청연] 아미파,단체,일반,청연,3,2,기원과 전승,247,고신뢰 부족,53,73,3,통과,보정 추정,396,976
[청연] 아미파.md,[청연] 아미파,단체,일반,청연,4,2,무공과 수행 색채,246,고신뢰 부족,54,74,3,통과,보정 추정,384,928
[청연] 아미파.md,[청연] 아미파,단체,일반,청연,5,2,조직 구조,247,고신뢰 부족,53,73,3,통과,보정 추정,387,935
[청연] 아미파.md,[청연] 아미파,단체,일반,청연,6,2,대외 관계,224,고신뢰 부족,76,96,3,통과,보정 추정,369,901
[청연] 아미파.md,[청연] 아미파,단체,일반,청연,7,2,정합성 메모,154,고신뢰 부족,146,166,2,통과,보정 추정,253,619
[청연] 암향루.md,[청연] 암향루(暗香樓),단체,일반,청연,1,2,개요,224,고신뢰 부족,76,96,2,통과,보정 추정,350,860
[청연] 암향루.md,[청연] 암향루(暗香樓),단체,일반,청연,2,2,신앙적 기반,188,고신뢰 부족,112,132,2,통과,보정 추정,295,725
[청연] 암향루.md,[청연] 암향루(暗香樓),단체,일반,청연,3,2,본거지와 활동권,221,고신뢰 부족,79,99,2,통과,보정 추정,343,830
[청연] 암향루.md,[청연] 암향루(暗香樓),단체,일반,청연,4,2,조직 구조,204,고신뢰 부족,96,116,2,통과,보정 추정,324,794
[청연] 암향루.md,[청연] 암향루(暗香樓),단체,일반,청연,5,2,수행 체계와 무공,204,고신뢰 부족,96,116,2,통과,보정 추정,311,751
[청연] 암향루.md,[청연] 암향루(暗香樓),단체,일반,청연,6,2,교리와 금기,197,고신뢰 부족,103,123,2,통과,보정 추정,320,784
[청연] 암향루.md,[청연] 암향루(暗香樓),단체,일반,청연,7,2,대외 관계,177,고신뢰 부족,123,143,2,통과,보정 추정,289,711
[청연] 약왕곡.md,[청연] 약왕곡(藥王谷),단체,일반,청연,1,2,개요,217,고신뢰 부족,83,103,2,통과,보정 추정,346,836
[청연] 약왕곡.md,[청연] 약왕곡(藥王谷),단체,일반,청연,2,2,신앙적 기반,206,고신뢰 부족,94,114,2,통과,보정 추정,332,818
[청연] 약왕곡.md,[청연] 약왕곡(藥王谷),단체,일반,청연,3,2,본거지와 활동권,220,고신뢰 부족,80,100,2,통과,보정 추정,336,808
[청연] 약왕곡.md,[청연] 약왕곡(藥王谷),단체,일반,청연,4,2,조직 구조,201,고신뢰 부족,99,119,2,통과,보정 추정,313,755
[청연] 약왕곡.md,[청연] 약왕곡(藥王谷),단체,일반,청연,5,2,수행 체계와 무공,214,고신뢰 부족,86,106,2,통과,보정 추정,337,821
[청연] 약왕곡.md,[청연] 약왕곡(藥王谷),단체,일반,청연,6,2,교리와 금기,184,고신뢰 부족,116,136,2,통과,보정 추정,305,745
[청연] 약왕곡.md,[청연] 약왕곡(藥王谷),단체,일반,청연,7,2,대외 관계,188,고신뢰 부족,112,132,2,통과,보정 추정,301,739
[청연] 운경 황국.md,[청연] 운경 황국,국가,,청연,2,2,지리·환경,306,경계,0,14,2,통과,보정 추정,460,1122
[청연] 운경 황국.md,[청연] 운경 황국,국가,,청연,4,2,통치 구조·법·행정,0,고신뢰 부족,300,320,0,부족,보정 추정,0,0
[청연] 운경 황국.md,[청연] 운경 황국,국가,,청연,8,2,경제·산업·물류,315,경계,0,5,2,통과,보정 추정,480,1172
[청연] 운경 황국.md,[청연] 운경 황국,국가,,청연,14,3,내부 권력 구도(세력 간 관계),305,경계,0,15,2,통과,보정 추정,474,1171
[청연] 운경 황국.md,[청연] 운경 황국,국가,,청연,16,3,관계 변동 조건,305,경계,0,15,2,통과,보정 추정,475,1141
[청연] 월영궁.md,[청연] 월영궁(月影宮),단체,일반,청연,1,2,개요,220,고신뢰 부족,80,100,2,통과,보정 추정,353,861
[청연] 월영궁.md,[청연] 월영궁(月影宮),단체,일반,청연,2,2,신앙적 기반,191,고신뢰 부족,109,129,2,통과,보정 추정,301,735
[청연] 월영궁.md,[청연] 월영궁(月影宮),단체,일반,청연,3,2,본거지와 활동권,231,고신뢰 부족,69,89,2,통과,보정 추정,354,856
[청연] 월영궁.md,[청연] 월영궁(月影宮),단체,일반,청연,4,2,조직 구조,210,고신뢰 부족,90,110,2,통과,보정 추정,331,803
[청연] 월영궁.md,[청연] 월영궁(月影宮),단체,일반,청연,5,2,수행 체계와 무공,230,고신뢰 부족,70,90,2,통과,보정 추정,362,880
[청연] 월영궁.md,[청연] 월영궁(月影宮),단체,일반,청연,6,2,교리와 금기,205,고신뢰 부족,95,115,2,통과,보정 추정,327,795
[청연] 월영궁.md,[청연] 월영궁(月影宮),단체,일반,청연,7,2,대외 관계,186,고신뢰 부족,114,134,2,통과,보정 추정,292,718
[청연] 점창파.md,[청연] 점창파,단체,일반,청연,1,2,개요,238,고신뢰 부족,62,82,3,통과,보정 추정,364,881
[청연] 점창파.md,[청연] 점창파,단체,일반,청연,2,2,대표 거점과 영향권,320,경계,0,0,2,통과,보정 추정,496,1170
[청연] 점창파.md,[청연] 점창파,단체,일반,청연,3,2,기원과 전승,230,고신뢰 부족,70,90,3,통과,보정 추정,360,876
[청연] 점창파.md,[청연] 점창파,단체,일반,청연,4,2,무공과 수행 색채,249,고신뢰 부족,51,71,3,통과,보정 추정,395,949
[청연] 점창파.md,[청연] 점창파,단체,일반,청연,5,2,조직 구조,222,고신뢰 부족,78,98,3,통과,보정 추정,356,858
[청연] 점창파.md,[청연] 점창파,단체,일반,청연,6,2,대외 관계,209,고신뢰 부족,91,111,3,통과,보정 추정,336,810
[청연] 점창파.md,[청연] 점창파,단체,일반,청연,7,2,정합성 메모,128,고신뢰 부족,172,192,2,통과,보정 추정,211,519
[청연] 종남파.md,[청연] 종남파,단체,일반,청연,1,2,개요,250,고신뢰 부족,50,70,3,통과,보정 추정,391,945
[청연] 종남파.md,[청연] 종남파,단체,일반,청연,2,2,대표 거점과 영향권,314,경계,0,6,2,통과,보정 추정,496,1172
[청연] 종남파.md,[청연] 종남파,단체,일반,청연,3,2,기원과 전승,232,고신뢰 부족,68,88,3,통과,보정 추정,365,885
[청연] 종남파.md,[청연] 종남파,단체,일반,청연,4,2,무공과 수행 색채,241,고신뢰 부족,59,79,3,통과,보정 추정,385,925
[청연] 종남파.md,[청연] 종남파,단체,일반,청연,5,2,조직 구조,242,고신뢰 부족,58,78,3,통과,보정 추정,385,931
[청연] 종남파.md,[청연] 종남파,단체,일반,청연,6,2,대외 관계,210,고신뢰 부족,90,110,3,통과,보정 추정,338,820
[청연] 종남파.md,[청연] 종남파,단체,일반,청연,7,2,정합성 메모,142,고신뢰 부족,158,178,2,통과,보정 추정,242,596
[청연] 진명영 항구.md,[청연] 진명영 항구,도시국가,항구,청연,2,2,주권과 통치,274,고신뢰 부족,26,46,2,통과,보정 추정,412,1015
[청연] 진명영 항구.md,[청연] 진명영 항구,도시국가,항구,청연,3,2,생존 기능과 정책,206,고신뢰 부족,94,114,2,통과,보정 추정,327,798
[청연] 진명영 항구.md,[청연] 진명영 항구,도시국가,항구,청연,4,2,갈등 관계,199,고신뢰 부족,101,121,2,통과,보정 추정,296,726
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,2,2,기원과 설립,262,고신뢰 부족,38,58,2,통과,보정 추정,422,1042
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,3,2,목적과 활동 방식,269,고신뢰 부족,31,51,2,통과,보정 추정,435,1060
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,4,2,조직 구조,264,고신뢰 부족,36,56,2,통과,보정 추정,429,1055
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,5,2,규모와 거점,276,고신뢰 부족,24,44,2,통과,보정 추정,455,1123
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,6,2,자원과 상징,270,고신뢰 부족,30,50,2,통과,보정 추정,417,1020
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,7,2,대외 관계,261,고신뢰 부족,39,59,2,통과,보정 추정,421,1041
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,8,2,내부 갈등과 약점,244,고신뢰 부족,56,76,2,통과,보정 추정,392,964
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,9,2,현재 동향,239,고신뢰 부족,61,81,2,통과,보정 추정,387,941
[청연] 천마신교.md,[청연] 천마신교,단체,일반,청연,10,2,부가 항목,200,고신뢰 부족,100,120,2,통과,보정 추정,320,777
[청연] 천문대 항구.md,[청연] 천문대 항구,도시국가,항구,청연,2,2,주권과 통치,265,고신뢰 부족,35,55,2,통과,보정 추정,410,1008
[청연] 천문대 항구.md,[청연] 천문대 항구,도시국가,항구,청연,3,2,생존 기능과 정책,215,고신뢰 부족,85,105,2,통과,보정 추정,337,817
[청연] 천문대 항구.md,[청연] 천문대 항구,도시국가,항구,청연,4,2,갈등 관계,205,고신뢰 부족,95,115,2,통과,보정 추정,309,759
[청연] 철갑진 항구.md,[청연] 철갑진 항구,도시국가,항구,청연,2,2,주권과 통치,286,추정 부족,14,34,2,통과,보정 추정,434,1067
[청연] 철갑진 항구.md,[청연] 철갑진 항구,도시국가,항구,청연,3,2,생존 기능과 정책,206,고신뢰 부족,94,114,2,통과,보정 추정,321,785
[청연] 철갑진 항구.md,[청연] 철갑진 항구,도시국가,항구,청연,4,2,갈등 관계,191,고신뢰 부족,109,129,2,통과,보정 추정,293,722
[청연] 청룡선문.md,[청연] 청룡선문(靑龍禪門),단체,일반,청연,1,2,개요,205,고신뢰 부족,95,115,2,통과,보정 추정,326,796
[청연] 청룡선문.md,[청연] 청룡선문(靑龍禪門),단체,일반,청연,2,2,신앙적 기반,193,고신뢰 부족,107,127,2,통과,보정 추정,301,735
[청연] 청룡선문.md,[청연] 청룡선문(靑龍禪門),단체,일반,청연,3,2,본거지와 활동권,215,고신뢰 부족,85,105,2,통과,보정 추정,328,788
[청연] 청룡선문.md,[청연] 청룡선문(靑龍禪門),단체,일반,청연,4,2,조직 구조,192,고신뢰 부족,108,128,2,통과,보정 추정,305,741
[청연] 청룡선문.md,[청연] 청룡선문(靑龍禪門),단체,일반,청연,5,2,수행 체계와 무공,211,고신뢰 부족,89,109,2,통과,보정 추정,324,784
[청연] 청룡선문.md,[청연] 청룡선문(靑龍禪門),단체,일반,청연,6,2,교리와 금기,180,고신뢰 부족,120,140,2,통과,보정 추정,297,725
[청연] 청룡선문.md,[청연] 청룡선문(靑龍禪門),단체,일반,청연,7,2,대외 관계,193,고신뢰 부족,107,127,2,통과,보정 추정,309,763
[청연] 청성파.md,[청연] 청성파,단체,일반,청연,1,2,개요,242,고신뢰 부족,58,78,3,통과,보정 추정,367,887
[청연] 청성파.md,[청연] 청성파,단체,일반,청연,2,2,대표 거점과 영향권,316,경계,0,4,2,통과,보정 추정,493,1163
[청연] 청성파.md,[청연] 청성파,단체,일반,청연,3,2,기원과 전승,223,고신뢰 부족,77,97,3,통과,보정 추정,357,877
[청연] 청성파.md,[청연] 청성파,단체,일반,청연,4,2,무공과 수행 색채,269,고신뢰 부족,31,51,3,통과,보정 추정,410,986
[청연] 청성파.md,[청연] 청성파,단체,일반,청연,5,2,조직 구조,218,고신뢰 부족,82,102,3,통과,보정 추정,349,849
[청연] 청성파.md,[청연] 청성파,단체,일반,청연,6,2,대외 관계,228,고신뢰 부족,72,92,3,통과,보정 추정,367,893
[청연] 청성파.md,[청연] 청성파,단체,일반,청연,7,2,정합성 메모,150,고신뢰 부족,150,170,2,통과,보정 추정,246,602
[청연] 풍로선문.md,[청연] 풍로선문(風路禪門),단체,일반,청연,1,2,개요,229,고신뢰 부족,71,91,2,통과,보정 추정,365,895
[청연] 풍로선문.md,[청연] 풍로선문(風路禪門),단체,일반,청연,2,2,신앙적 기반,210,고신뢰 부족,90,110,2,통과,보정 추정,328,802
[청연] 풍로선문.md,[청연] 풍로선문(風路禪門),단체,일반,청연,3,2,본거지와 활동권,255,고신뢰 부족,45,65,2,통과,보정 추정,389,939
[청연] 풍로선문.md,[청연] 풍로선문(風路禪門),단체,일반,청연,4,2,조직 구조,205,고신뢰 부족,95,115,2,통과,보정 추정,333,809
[청연] 풍로선문.md,[청연] 풍로선문(風路禪門),단체,일반,청연,5,2,수행 체계와 무공,237,고신뢰 부족,63,83,2,통과,보정 추정,366,888
[청연] 풍로선문.md,[청연] 풍로선문(風路禪門),단체,일반,청연,6,2,교리와 금기,197,고신뢰 부족,103,123,2,통과,보정 추정,326,798
[청연] 풍로선문.md,[청연] 풍로선문(風路禪門),단체,일반,청연,7,2,대외 관계,199,고신뢰 부족,101,121,2,통과,보정 추정,319,787
[청연] 하오문.md,[청연] 하오문,단체,일반,청연,1,2,개요,246,고신뢰 부족,54,74,3,통과,보정 추정,379,917
[청연] 하오문.md,[청연] 하오문,단체,일반,청연,3,2,기원과 전승,252,고신뢰 부족,48,68,3,통과,보정 추정,403,983
[청연] 하오문.md,[청연] 하오문,단체,일반,청연,4,2,무공과 수행 색채,253,고신뢰 부족,47,67,3,통과,보정 추정,397,939
[청연] 하오문.md,[청연] 하오문,단체,일반,청연,5,2,조직 구조,229,고신뢰 부족,71,91,3,통과,보정 추정,368,890
[청연] 하오문.md,[청연] 하오문,단체,일반,청연,6,2,대외 관계,286,추정 부족,14,34,3,통과,보정 추정,460,1120
[청연] 하오문.md,[청연] 하오문,단체,일반,청연,7,2,정합성 메모,146,고신뢰 부족,154,174,2,통과,보정 추정,240,588
[청연] 해뢰선문.md,[청연] 해뢰선문(海雷禪門),단체,일반,청연,1,2,개요,226,고신뢰 부족,74,94,2,통과,보정 추정,356,876
